需求 ID,類型,功能描述,優先級,相關模組,相關 REQ,驗收標準,備註
REQ-026,Bug修正,商品圖片上傳修復：後台商品上架時，圖片上傳元件無法正常運作。修復後應支援最多 5 張圖片上傳（單張上限 2MB，JPG/PNG/WebP），上傳後即時預覽，刪除後從列表移除。,高,前端/後端,REQ-001,"圖片上傳成功並顯示預覽；格式與大小驗證正常；商品儲存後圖片可在前台顯示。",0418 測試發現：商品管理上架時無法上傳圖片
REQ-027,Bug修正,網站管理載入修復：進入網站管理頁面時顯示「載入失敗」，無法查看現有商品進行上架操作。應修復 API 呼叫錯誤，確保網站管理頁面正常載入商品與網站清單。,高,前端/後端,REQ-007,"頁面載入成功無錯誤訊息；商品清單正確顯示；可正常選取商品並上架至網站。",0418 測試發現：網站管理進入時顯示載入失敗
REQ-028,功能缺失,網站管理 UI 補完：(1) 網站管理頁面缺少返回/退出按鈕，應新增返回上一頁按鈕；(2) 已下線網站缺少「重新上線」按鈕，應在已下線網站卡片/列表上新增「重新上線」操作，執行後網站狀態變更為「已上線」。,高,前端,REQ-007,"(1) 網站管理各頁面均有返回按鈕；(2) 已下線網站可透過「重新上線」按鈕重新上線，狀態正確變更；操作需二次確認。",0418 測試發現
REQ-029,功能缺失,網站設定完善：後台網站設定應包含以下可編輯欄位：(1) Banner 主視覺圖片（必填，建議尺寸顯示）；(2) 宣傳文案圖片（選填）；(3) 網站標題（必填）；(4) 網站副標題（選填）；(5) 瀏覽器分頁標題（<title> tag）；(6) Footer 標題（選填，供店家顯示店名）；(7) Footer 副標題（選填，供店家填寫聯絡資訊與說明文字）。以上設定儲存後前台即時生效。,高,前端/後端,REQ-007 REQ-023,"各欄位儲存正常；前台 Banner/標題/副標題/Footer 依設定正確顯示；瀏覽器分頁標題正確更新；圖片上傳格式與大小驗證正常。",0418 測試發現：目前網站設定缺少視覺與文字設定相關欄位
REQ-030,Bug修正,前台集合頁商品顯示修復：前台 /project/{網站ID} 顯示「目前無上架商品」，但後台已設定商品並關聯至網站。應修復前台查詢邏輯，確保已上架商品正確顯示於集合頁商品卡片列表，包含商品圖片、名稱、價格。,高,前端/後端,REQ-024,"前台集合頁正確顯示已上架商品；商品卡片含圖片+名稱+價格；點擊卡片正確導向商品詳情頁。",0418 測試發現：前台顯示「目前無上架商品」
REQ-031,Bug修正,前台購物車 UI 修復：前台購物車頁面格式與 prototype 設計不符，需對照 prototype/目錄下的設計稿進行還原，包含商品列表排版、數量調整元件、小計與總計顯示、結帳按鈕位置等。,高,前端,REQ-003,"購物車頁面版面與 prototype 一致；商品列表、數量調整、金額計算、結帳按鈕位置均符合設計稿。",0418 測試發現：購物車格式與 prototype 不符
REQ-032,功能缺失,Email 模板可用變數說明與擴充：(1) 現有可用變數（{{customerName}} {{orderNumber}} {{totalAmount}}）應加上中文說明，告知使用者各變數代表的意義；(2) 新增可用變數：{{websiteName}}（網站名稱）、{{contactInfo}}（店家聯絡資訊）；(3) 介面上以表格或列表方式清楚呈現所有可用變數及其說明。,中,前端/後端,REQ-013,"可用變數表格正確顯示且含中文說明；{{websiteName}} 與 {{contactInfo}} 可在 Email 內容中正確替換為實際值；模板預覽功能可看到變數替換結果。",0418 測試發現：可用變數缺少說明且不足
REQ-033,功能缺失,使用者管理新增使用者：後台使用者管理頁目前缺少「新增使用者」按鈕，應新增建立使用者功能，包含欄位：Email（必填）、姓名（必填）、密碼（必填，8碼以上）、角色（管理員/一般使用者）。送出後寄送歡迎 Email（可選）。,高,前端/後端,REQ-014,"新增使用者成功；Email 唯一性驗證；密碼強度驗證；角色正確設定；新使用者可登入後台。",0418 測試發現：使用者管理缺少新增按鈕
REQ-034,功能缺失,RBAC 資料隔離：一般使用者（店家角色）登入後台後，所有功能模組應只顯示並操作自己的資料：(1) 網站管理 - 只看到自己建立的網站；(2) 商品管理 - 只看到自己的商品；(3) 商品類型 - 只看到自己設定的類型；(4) 訂單查詢 - 只看到自己網站的訂單；(5) Email 模板 - 只能設定自己的模板；(6) 使用者管理 - 一般使用者不顯示此選單。管理員可查看所有使用者的全部資料。,高,前端/後端,REQ-014,"一般使用者登入後各功能模組只顯示自己的資料；一般使用者看不到使用者管理選單；管理員可查看全部資料；資料隔離驗證（一般使用者 API 呼叫不可取得他人資料）。",0418 測試發現：目前資料未依使用者隔離
REQ-035,新需求(TBD),前台 OnePage 平台聯絡方式：前台各頁面應提供 OnePage 平台（訂閱服務）的聯絡方式入口，具體放置位置與聯絡資訊內容待需求分析階段進一步確認。,低,前端,（新增）,"前台各頁面有 OnePage 平台聯絡方式入口（位置與內容待確認）。",0418 語音記錄備註：「先找我設定的那個，之後再做需求分析的時候記得要問這一題」—— 待確認
